location,sex,age,cause,metric,year,val,upper,lower
Peru,Male,Under 5,All causes,Number,2011,8469.08151,9494.18728,7551.880809
Peru,Female,Under 5,All causes,Number,2011,6350.578752,7080.008286,5705.079113
Peru,Both,Under 5,All causes,Number,2011,14819.66026,16566.19666,13332.82267
Peru,Male,Early Neonatal,All causes,Number,2011,3545.543477,4213.203716,2963.3362
Peru,Female,Early Neonatal,All causes,Number,2011,2449.525017,2935.661185,2024.200541
Peru,Both,Early Neonatal,All causes,Number,2011,5995.068495,7133.355705,5011.693677
Peru,Male,Late Neonatal,All causes,Number,2011,570.252818,710.3676549,448.4750754
Peru,Female,Late Neonatal,All causes,Number,2011,795.2921161,1002.673912,620.3906161
Peru,Both,Late Neonatal,All causes,Number,2011,1365.544934,1670.481182,1135.96651
Peru,Male,Post Neonatal,All causes,Number,2011,2806.399396,3358.246393,2321.910663
Peru,Female,Post Neonatal,All causes,Number,2011,2095.206525,2485.201742,1747.359865
Peru,Both,Post Neonatal,All causes,Number,2011,4901.605922,5830.486524,4081.931816
Peru,Male,1 to 4,All causes,Number,2011,1546.885818,1927.527557,1226.631743
Peru,Female,1 to 4,All causes,Number,2011,1010.555094,1266.180812,796.8706506
Peru,Both,1 to 4,All causes,Number,2011,2557.440912,3195.482355,2025.089765
Peru,Male,5 to 9,All causes,Number,2011,807.2181331,876.2664334,741.8463166
Peru,Female,5 to 9,All causes,Number,2011,567.2310462,612.5936009,525.7692555
Peru,Both,5 to 9,All causes,Number,2011,1374.449179,1486.922837,1267.758199
Peru,Male,10 to 14,All causes,Number,2011,649.0577586,690.8628921,610.4363077
Peru,Female,10 to 14,All causes,Number,2011,525.4757561,557.3123988,493.6070122
Peru,Both,10 to 14,All causes,Number,2011,1174.533515,1239.842737,1114.179822
Peru,Male,15 to 19,All causes,Number,2011,1172.231853,1281.994104,1064.306466
Peru,Female,15 to 19,All causes,Number,2011,731.0583412,791.1610737,671.8703148
Peru,Both,15 to 19,All causes,Number,2011,1903.290195,2025.788908,1776.36284
Peru,Male,20 to 24,All causes,Number,2011,1697.100253,1858.011664,1540.543009
Peru,Female,20 to 24,All causes,Number,2011,808.1111611,882.4747576,735.691191
Peru,Both,20 to 24,All causes,Number,2011,2505.211414,2677.787122,2328.635919
