measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Peru,Male,Under 5,All causes,Number,2011,8469.081510161612,9494.18728035254,7551.88080943732
Deaths,Peru,Female,Under 5,All causes,Number,2011,6350.578752059216,7080.008286226123,5705.079113301217
Deaths,Peru,Both,Under 5,All causes,Number,2011,14819.660262220854,16566.19665872255,13332.822673257506
Deaths,Peru,Male,Early Neonatal,All causes,Number,2011,3545.5434774916644,4213.203715830189,2963.3362004544983
Deaths,Peru,Female,Early Neonatal,All causes,Number,2011,2449.525017184285,2935.6611854138728,2024.200540605829
Deaths,Peru,Both,Early Neonatal,All causes,Number,2011,5995.068494675941,7133.355704592273,5011.693677424198
Deaths,Peru,Male,Late Neonatal,All causes,Number,2011,570.2528179761943,710.3676548733773,448.4750753723699
Deaths,Peru,Female,Late Neonatal,All causes,Number,2011,795.2921160894067,1002.6739118706913,620.3906161359967
Deaths,Peru,Both,Late Neonatal,All causes,Number,2011,1365.5449340655998,1670.4811823224602,1135.9665098697737
Deaths,Peru,Male,Post Neonatal,All causes,Number,2011,2806.399396426443,3358.2463931394936,2321.910663227849
Deaths,Peru,Female,Post Neonatal,All causes,Number,2011,2095.206525221464,2485.2017423127886,1747.3598654995603
Deaths,Peru,Both,Post Neonatal,All causes,Number,2011,4901.605921647914,5830.486524135203,4081.931816376062
Deaths,Peru,Male,1 to 4,All causes,Number,2011,1546.8858182673087,1927.527557259567,1226.631743127678
Deaths,Peru,Female,1 to 4,All causes,Number,2011,1010.5550935640671,1266.1808117810838,796.8706505516124
Deaths,Peru,Both,1 to 4,All causes,Number,2011,2557.4409118313765,3195.4823553280457,2025.089764874476
Deaths,Peru,Male,5 to 9,All causes,Number,2011,807.2181330691279,876.2664333814453,741.8463165889308
Deaths,Peru,Female,5 to 9,All causes,Number,2011,567.2310461795443,612.5936009440056,525.7692554898471
Deaths,Peru,Both,5 to 9,All causes,Number,2011,1374.4491792486729,1486.9228369711225,1267.7581989176126
Deaths,Peru,Male,10 to 14,All causes,Number,2011,649.0577585810674,690.8628921438894,610.4363077116359
Deaths,Peru,Female,10 to 14,All causes,Number,2011,525.4757560591534,557.3123988485099,493.6070122189411
Deaths,Peru,Both,10 to 14,All causes,Number,2011,1174.5335146402194,1239.8427371251162,1114.1798222820019
Deaths,Peru,Male,15 to 19,All causes,Number,2011,1172.231853363824,1281.9941035853658,1064.3064659187155
Deaths,Peru,Female,15 to 19,All causes,Number,2011,731.0583412361434,791.1610736861646,671.8703148488693
Deaths,Peru,Both,15 to 19,All causes,Number,2011,1903.2901945999686,2025.7889084083126,1776.3628401529947
Deaths,Peru,Male,20 to 24,All causes,Number,2011,1697.1002527393825,1858.0116644407105,1540.5430090841342
Deaths,Peru,Female,20 to 24,All causes,Number,2011,808.1111611191636,882.4747575921431,735.6911909688135
Deaths,Peru,Both,20 to 24,All causes,Number,2011,2505.2114138585434,2677.7871224618575,2328.635919073667
Deaths,Peru,Male,25 to 29,All causes,Number,2011,1890.3643416499292,2056.860264992297,1726.149221565167
Deaths,Peru,Female,25 to 29,All causes,Number,2011,850.4996739647468,934.6815238108122,770.8836266967206
Deaths,Peru,Both,25 to 29,All causes,Number,2011,2740.8640156146757,2919.4752662252454,2552.259595319099
Deaths,Peru,Male,30 to 34,All causes,Number,2011,1923.469399353571,2095.091703720828,1754.4931476422553
Deaths,Peru,Female,30 to 34,All causes,Number,2011,1045.3616514975315,1151.0516724684617,947.6655635872775
Deaths,Peru,Both,30 to 34,All causes,Number,2011,2968.831050851102,3159.7950216994545,2766.4499348597456
Deaths,Peru,Male,35 to 39,All causes,Number,2011,2076.5901856003575,2281.245839435649,1875.8071147913558
Deaths,Peru,Female,35 to 39,All causes,Number,2011,1268.936606329405,1418.5254681088081,1139.2781499778844
Deaths,Peru,Both,35 to 39,All causes,Number,2011,3345.5267919297635,3577.918284169256,3094.982437163123
Deaths,Peru,Male,40 to 44,All causes,Number,2011,2290.9568885374,2525.484126517079,2062.0321652029784
Deaths,Peru,Female,40 to 44,All causes,Number,2011,1603.318407183898,1779.1898900712638,1449.866664304026
